tag_id;taggable_id;taggable_type
70;277;Proposal
65;277;Proposal
23;277;Proposal
67;277;Proposal
68;277;Proposal
145;278;Proposal
130;278;Proposal
91;278;Proposal
147;278;Proposal
148;278;Proposal
20;279;Proposal
120;279;Proposal
35;279;Proposal
0;279;Proposal
70;279;Proposal
95;280;Proposal
70;280;Proposal
120;280;Proposal
65;280;Proposal
23;280;Proposal
85;281;Proposal
55;281;Proposal
70;281;Proposal
105;281;Proposal
5;281;Proposal
105;282;Proposal
70;282;Proposal
61;282;Proposal
91;282;Proposal
19;282;Proposal
190;283;Proposal
187;283;Proposal
192;283;Proposal
5;283;Proposal
193;283;Proposal
90;284;Proposal
40;284;Proposal
125;284;Proposal
91;284;Proposal
74;284;Proposal
155;285;Proposal
20;285;Proposal
70;285;Proposal
150;285;Proposal
108;285;Proposal
120;286;Proposal
135;286;Proposal
65;286;Proposal
69;286;Proposal
185;286;Proposal
65;287;Proposal
175;287;Proposal
11;287;Proposal
23;287;Proposal
15;287;Proposal
75;288;Proposal
170;288;Proposal
70;288;Proposal
5;288;Proposal
41;288;Proposal
105;289;Proposal
61;289;Proposal
91;289;Proposal
65;289;Proposal
108;289;Proposal
15;290;Proposal
16;290;Proposal
17;290;Proposal
18;290;Proposal
19;290;Proposal
195;291;Proposal
10;291;Proposal
20;291;Proposal
196;291;Proposal
91;291;Proposal
70;292;Proposal
65;292;Proposal
23;292;Proposal
170;292;Proposal
140;292;Proposal
60;293;Proposal
105;293;Proposal
5;293;Proposal
61;293;Proposal
140;293;Proposal
55;294;Proposal
190;294;Proposal
150;294;Proposal
187;294;Proposal
185;294;Proposal
150;295;Proposal
110;295;Proposal
145;295;Proposal
151;295;Proposal
111;295;Proposal
120;296;Proposal
65;296;Proposal
55;296;Proposal
5;296;Proposal
23;296;Proposal
4;297;Proposal
181;297;Proposal
135;297;Proposal
190;297;Proposal
74;297;Proposal
65;298;Proposal
23;298;Proposal
67;298;Proposal
68;298;Proposal
69;298;Proposal
60;299;Proposal
65;299;Proposal
105;299;Proposal
23;299;Proposal
70;299;Proposal
60;300;Proposal
61;300;Proposal
65;300;Proposal
62;300;Proposal
63;300;Proposal
90;301;Proposal
35;301;Proposal
36;301;Proposal
91;301;Proposal
140;301;Proposal
145;302;Proposal
150;302;Proposal
25;302;Proposal
120;302;Proposal
91;302;Proposal
125;303;Proposal
35;303;Proposal
36;303;Proposal
74;303;Proposal
170;303;Proposal
65;304;Proposal
23;304;Proposal
67;304;Proposal
68;304;Proposal
69;304;Proposal
95;305;Proposal
110;305;Proposal
15;305;Proposal
25;305;Proposal
4;305;Proposal
65;306;Proposal
4;306;Proposal
181;306;Proposal
195;306;Proposal
23;306;Proposal
185;307;Proposal
20;307;Proposal
5;307;Proposal
120;307;Proposal
0;307;Proposal
85;308;Proposal
86;308;Proposal
87;308;Proposal
88;308;Proposal
89;308;Proposal
10;309;Proposal
15;309;Proposal
0;309;Proposal
20;309;Proposal
70;309;Proposal
10;310;Proposal
70;310;Proposal
19;310;Proposal
11;310;Proposal
75;310;Proposal
0;311;Proposal
10;311;Proposal
20;311;Proposal
70;311;Proposal
65;311;Proposal
135;312;Proposal
150;312;Proposal
0;312;Proposal
90;312;Proposal
